data,uf,canal,categoria,segmento,produto,quantidade,receita,custo,lucro
2023-01-08 21:17:30.180072028,BA,Loja Física,Serviços,Varejo,Produto_55,3,4.176.415.147.727.290,2.421.895.824.810.960,17.545.193.229.163.300
2023-01-10 08:20:44.657863145,PR,Marketplace,Móveis,Varejo,Produto_7,1,39.236.461.593.266.800,28.206.282.769.677.000,11.030.178.823.589.800
2023-01-11 05:22:41.344537815,ES,Marketplace,Acessórios,Distribuidor,Produto_70,9,14.465.451.092.340.700,10.288.413.501.026.300,4.177.037.591.314.360
2023-01-11 05:22:41.344537815,SC,Loja Física,Móveis,Distribuidor,Produto_9,8,4.477.771.145.211.960,3.619.207.949.575.020,858.563.195.636.933
2023-01-12 02:24:38.031212485,SC,Loja Física,Informática,Corporativo,Produto_57,8,8.408.496.608.565.930,49.229.347.245.904.500,3.485.561.883.975.470
2023-01-12 09:25:16.926770708,BA,Loja Física,Informática,Varejo,Produto_115,9,39.300.849.376.605.500,2.590.617.169.909.020,13.394.677.677.515.200
2023-01-12 09:25:16.926770708,SP,Online,Eletrônicos,Corporativo,Produto_76,1,14.354.767.918.209.700,8.510.202.395.109.560,5.844.565.523.100.220
2023-01-12 09:25:16.926770708,SP,Marketplace,Informática,Varejo,Produto_15,6,13.656.577.845.654.100,10.185.695.862.832.600,3.470.881.982.821.540
2023-01-12 16:25:55.822328931,RJ,Representante,Serviços,Corporativo,Produto_73,6,4.184.385.871.139.520,2.494.677.286.717.060,16.897.085.844.224.500
2023-01-12 16:25:55.822328931,ES,Loja Física,Acessórios,Varejo,Produto_8,2,4.668.786.931.118.420,3.248.143.296.785.320,14.206.436.343.331.000
2023-01-12 23:26:34.717887154,BA,Loja Física,Acessórios,Varejo,Produto_54,11,21.880.611.904.191.200,15.856.010.135.227.300,6.024.601.768.963.810
2023-01-13 06:27:13.613445378,MG,Online,Eletrônicos,Varejo,Produto_10,4,7.938.750.935.248.920,4.540.344.690.311.940,33.984.062.449.369.800
2023-01-13 06:27:13.613445378,RS,Marketplace,Informática,Varejo,Produto_69,14,15.475.107.731.807.500,1.183.161.062.667.750,36.434.971.051.299.300
2023-01-13 06:27:13.613445378,RJ,Marketplace,Serviços,Distribuidor,Produto_59,7,5.479.841.657.145.070,3.493.892.725.475.190,19.859.489.316.698.800
2023-01-13 06:27:13.613445378,RS,Representante,Informática,Distribuidor,Produto_103,8,8.772.290.541.740.450,5.200.718.491.263.280,35.715.720.504.771.700
2023-01-13 13:27:52.509003601,RJ,Online,Serviços,Distribuidor,Produto_116,12,6.626.410.330.207.750,3.727.745.700.219.170,28.986.646.299.885.800
2023-01-15 00:31:06.986794718,ES,Representante,Acessórios,Varejo,Produto_66,2,19.604.299.571.813.600,13.940.660.280.087.700,566.363.929.172.592
2023-01-15 07:31:45.882352941,RJ,Marketplace,Acessórios,Distribuidor,Produto_101,9,10.925.793.340.146.300,9.083.942.535.977.800,18.418.508.041.685.200
2023-01-15 07:31:45.882352941,SC,Representante,Serviços,Varejo,Produto_52,5,8.319.373.094.285.720,5.180.695.158.253.320,31.386.779.360.324.000
2023-01-15 14:32:24.777911164,RS,Marketplace,Serviços,Distribuidor,Produto_57,1,13.823.063.122.712.800,9.327.041.673.121.240,4.496.021.449.591.640
2023-01-16 04:33:42.569027611,BA,Loja Física,Serviços,Distribuidor,Produto_116,8,1.983.759.888.423.370,1.533.131.781.688.540,4.506.281.067.348.330
2023-01-16 11:34:21.464585834,BA,Online,Móveis,Distribuidor,Produto_49,11,10.711.106.638.576.100,6.250.127.253.209.050,446.097.938.536.711
2023-01-17 08:36:18.151260504,MG,Representante,Acessórios,Corporativo,Produto_72,4,4.686.785.573.069.070,33.455.043.009.699.300,1.341.281.272.099.140
2023-01-17 15:36:57.046818727,SC,Loja Física,Informática,Corporativo,Produto_96,3,9.983.925.711.763.670,7.980.187.944.710.590,20.037.377.670.530.800
2023-01-17 22:37:35.942376950,RJ,Loja Física,Informática,Varejo,Produto_101,7,14.918.546.837.581.900,10.561.695.828.305.100,435.685.100.927.683
2023-01-18 05:38:14.837935174,RS,Marketplace,Eletrônicos,Distribuidor,Produto_101,5,1.011.428.906.530.210,7.875.734.222.057.300,2.238.554.843.244.810
2023-01-18 12:38:53.733493397,ES,Online,Serviços,Distribuidor,Produto_29,3,15.805.601.407.702.400,1.288.513.261.333.780,2.920.468.794.364.540
2023-01-18 12:38:53.733493397,PR,Online,Serviços,Corporativo,Produto_42,9,2.094.213.496.943.630,17.711.625.874.113.100,32.305.090.953.232.000
2023-01-19 02:40:11.524609844,PR,Loja Física,Móveis,Distribuidor,Produto_94,5,40.622.656.517.717.700,22.932.537.333.375.600,17.690.119.184.342.000
2023-01-19 16:41:29.315726290,ES,Loja Física,Serviços,Varejo,Produto_117,4,9.362.135.586.249.040,6.440.570.740.644.420,29.215.648.456.046.100
2023-01-20 06:42:47.106842737,SP,Online,Informática,Varejo,Produto_19,11,22.131.112.990.426.400,12.341.573.471.087.500,978.953.951.933.882
2023-01-20 13:43:26.002400960,BA,Representante,Informática,Varejo,Produto_104,10,22.441.788.154.783.900,13.821.748.376.484.200,8.620.039.778.299.670
2023-01-20 13:43:26.002400960,SP,Online,Acessórios,Corporativo,Produto_37,6,13.006.870.968.683.800,8.766.199.247.016.970,4.240.671.721.666.870
2023-01-20 20:44:04.897959183,MG,Online,Eletrônicos,Corporativo,Produto_64,2,22.140.141.884.836.900,1.659.654.510.294.690,5.543.596.781.889.970
2023-01-20 20:44:04.897959183,RJ,Representante,Eletrônicos,Corporativo,Produto_107,6,8.435.883.637.296.540,5.342.096.179.068.650,3.093.787.458.227.890
2023-01-21 10:45:22.689075630,RJ,Marketplace,Serviços,Distribuidor,Produto_116,2,4.922.459.877.063.870,3.208.211.636.461.080,17.142.482.406.027.900
2023-01-22 00:46:40.480192076,RJ,Online,Informática,Varejo,Produto_68,11,1.657.312.522.585.890,11.000.199.288.692.900,5.572.925.937.166.020
2023-01-22 00:46:40.480192076,RJ,Marketplace,Informática,Varejo,Produto_40,6,41.811.983.067.446.300,33.121.612.022.611.800,8.690.371.044.834.540
2023-01-22 00:46:40.480192076,BA,Loja Física,Acessórios,Varejo,Produto_97,7,4.842.086.549.147.120,384.968.158.099.533,9.924.049.681.517.970
2023-01-22 00:46:40.480192076,SC,Loja Física,Eletrônicos,Distribuidor,Produto_9,9,8.046.533.822.730.740,601.270.803.125.081,20.338.257.914.799.300
2023-01-22 14:47:58.271308523,RS,Online,Móveis,Varejo,Produto_19,9,13.866.568.042.312.100,9.866.046.505.277.730,40.005.215.370.343.700
2023-01-23 04:49:16.062424970,RS,Marketplace,Serviços,Varejo,Produto_105,3,71.652.841.424.089.500,39.884.979.946.411.000,3.176.786.147.767.840
2023-01-23 04:49:16.062424970,BA,Representante,Informática,Corporativo,Produto_8,3,3.985.864.636.506.660,23.197.920.287.167.200,16.660.726.077.899.400
2023-01-23 11:49:54.957983193,MG,Loja Física,Eletrônicos,Corporativo,Produto_25,10,5.251.167.995.834.450,4.283.982.942.115.460,9.671.850.537.189.980
2023-01-23 18:50:33.853541416,RS,Marketplace,Móveis,Corporativo,Produto_86,13,7.744.548.333.217.460,5.565.568.052.727.150,2.178.980.280.490.310
2023-01-24 15:52:30.540216086,RJ,Representante,Informática,Distribuidor,Produto_31,2,39.762.535.030.427.500,2.232.780.363.387.150,17.434.731.396.555.900
2023-01-24 15:52:30.540216086,MG,Marketplace,Eletrônicos,Varejo,Produto_32,3,28.400.037.223.706.300,20.408.812.882.172.600,799.122.434.153.368
2023-01-24 22:53:09.435774309,RS,Representante,Serviços,Corporativo,Produto_10,4,7.278.487.216.599.450,41.027.436.218.527.800,3.175.743.594.746.660
2023-01-24 22:53:09.435774309,SC,Online,Informática,Distribuidor,Produto_96,11,1.298.124.086.845.370,10.642.114.192.699.900,2.339.126.675.753.730
2023-01-25 05:53:48.331332533,RJ,Online,Informática,Corporativo,Produto_95,10,1.426.096.907.393.910,1.007.787.256.367.660,4.183.096.510.262.520
2023-01-25 19:55:06.122448979,SP,Marketplace,Acessórios,Varejo,Produto_39,4,62.171.522.155.412.000,46.672.367.309.332.800,154.991.548.460.792
2023-01-25 19:55:06.122448979,RJ,Loja Física,Eletrônicos,Distribuidor,Produto_108,1,19.043.648.387.499.300,14.606.622.731.017.400,4.437.025.656.481.890
2023-01-26 02:55:45.018007202,MG,Representante,Eletrônicos,Corporativo,Produto_60,9,14.752.376.751.932.600,1.054.708.751.150.090,4.205.289.240.431.660
2023-01-26 02:55:45.018007202,BA,Loja Física,Informática,Varejo,Produto_39,4,4.583.457.090.751.750,35.285.903.964.961.200,1.054.866.694.255.620
2023-01-26 09:56:23.913565426,MG,Marketplace,Serviços,Varejo,Produto_10,9,1.839.486.109.717.640,13.791.262.742.612.700,4.603.598.354.563.670
2023-01-27 13:58:59.495798319,SP,Marketplace,Informática,Varejo,Produto_98,7,12.446.861.168.495.400,69.312.916.499.361.700,5.515.569.518.559.280
2023-01-27 20:59:38.391356542,BA,Marketplace,Serviços,Varejo,Produto_89,12,2.686.978.205.345.300,21.967.727.535.722.000,4.902.054.517.730.990
2023-01-28 11:00:56.182472989,SP,Representante,Acessórios,Corporativo,Produto_59,10,8.584.248.191.644.990,6.396.097.548.541.290,21.881.506.431.037.000
2023-01-29 08:02:52.869147659,SP,Online,Acessórios,Varejo,Produto_21,12,2.491.116.698.658.590,13.779.671.791.228.300,11.131.495.195.357.600
2023-01-29 22:04:10.660264105,BA,Representante,Acessórios,Distribuidor,Produto_11,6,31.875.490.633.692.800,21.884.277.605.900.900,999.121.302.779.191
2023-01-31 02:06:46.242496999,RJ,Online,Eletrônicos,Corporativo,Produto_33,7,15.500.078.252.890.700,1.275.623.750.072.270,27.438.407.521.679.800
2023-01-31 02:06:46.242496999,ES,Marketplace,Acessórios,Varejo,Produto_45,14,30.595.218.876.228.700,2.551.762.972.273.070,5.077.589.153.497.970
2023-01-31 09:07:25.138055222,RS,Online,Serviços,Varejo,Produto_95,7,11.201.291.820.029.700,8.437.753.377.121.320,2.763.538.442.908.430
2023-01-31 09:07:25.138055222,SP,Online,Informática,Corporativo,Produto_114,2,7.845.418.986.303.200,6.637.997.418.481.260,12.074.215.678.219.400
2023-01-31 09:07:25.138055222,RJ,Representante,Serviços,Corporativo,Produto_15,13,11.449.511.629.144.500,7.840.295.121.948.230,3.609.216.507.196.340
2023-01-31 16:08:04.033613445,BA,Marketplace,Serviços,Corporativo,Produto_62,12,17.641.944.132.083.600,13.743.951.682.745.100,38.979.924.493.385.500
2023-02-02 10:11:57.406962785,PR,Marketplace,Eletrônicos,Varejo,Produto_101,5,5.460.348.800.270.540,34.715.547.478.494.500,19.887.940.524.210.900
2023-02-02 17:12:36.302521008,PR,Marketplace,Acessórios,Distribuidor,Produto_90,7,9.041.334.994.136.680,5.829.991.937.260.930,32.113.430.568.757.400
2023-02-02 17:12:36.302521008,SC,Representante,Móveis,Corporativo,Produto_39,10,18.295.746.933.995.000,1.511.210.322.071.540,31.836.437.132.795.900
2023-02-03 00:13:15.198079231,SC,Online,Informática,Corporativo,Produto_79,5,12.468.332.924.563.400,8.367.609.568.632.750,4.100.723.355.930.700
2023-02-03 07:13:54.093637455,MG,Marketplace,Informática,Distribuidor,Produto_84,10,9.908.424.098.917.700,6.374.980.305.700.980,3.533.443.793.216.720
2023-02-03 14:14:32.989195678,MG,Representante,Serviços,Corporativo,Produto_73,6,7.531.171.370.359.930,5.160.359.648.580.750,23.708.117.217.791.800
2023-02-03 14:14:32.989195678,ES,Representante,Serviços,Distribuidor,Produto_8,4,9.706.632.462.797.600,6.042.823.705.707.640,36.638.087.570.899.600
2023-02-03 14:14:32.989195678,BA,Loja Física,Eletrônicos,Varejo,Produto_104,12,1.981.688.436.790.120,14.471.333.865.359.900,5.345.550.502.541.320
2023-02-04 04:15:50.780312125,PR,Online,Móveis,Corporativo,Produto_72,12,37.604.599.310.172.100,29.155.115.009.178.400,84.494.843.009.937
2023-02-04 11:16:29.675870348,PR,Online,Acessórios,Distribuidor,Produto_116,9,19.105.764.562.663.000,11.011.164.471.611.500,8.094.600.091.051.530
2023-02-04 11:16:29.675870348,RJ,Marketplace,Acessórios,Varejo,Produto_117,1,23.105.557.798.843.900,15.522.550.837.996.300,7.583.006.960.847.570
2023-02-05 01:17:47.466986794,SC,Loja Física,Acessórios,Distribuidor,Produto_64,8,18.783.054.687.117.100,1.229.546.999.372.810,6.487.584.693.388.970
2023-02-05 22:19:44.153661464,RJ,Loja Física,Informática,Corporativo,Produto_18,8,1.888.739.195.360.050,14.126.228.765.674.400,4.761.163.187.926.130
2023-02-05 22:19:44.153661464,ES,Loja Física,Eletrônicos,Varejo,Produto_64,6,5.099.149.128.333.720,30.356.920.308.142.200,20.634.570.975.194.900
2023-02-05 22:19:44.153661464,BA,Loja Física,Acessórios,Varejo,Produto_65,6,974.592.476.232.675,7.271.590.671.177.720,2.474.334.091.149.020
2023-02-06 12:21:01.944777911,MG,Representante,Informática,Distribuidor,Produto_69,10,1.105.502.607.428.450,8.905.396.629.203.480,21.496.294.450.810.900
2023-02-06 12:21:01.944777911,ES,Representante,Acessórios,Varejo,Produto_13,14,2.315.387.848.895.630,14.796.892.371.609.500,8.356.986.117.346.860
2023-02-06 12:21:01.944777911,PR,Marketplace,Eletrônicos,Corporativo,Produto_62,10,23.532.986.386.108.000,1.931.639.620.667.950,4.216.590.179.428.530
2023-02-07 02:22:19.735894357,RJ,Marketplace,Móveis,Distribuidor,Produto_107,13,5.554.517.490.336.990,3.879.458.608.951.800,16.750.588.813.851.900
2023-02-07 02:22:19.735894357,RS,Loja Física,Informática,Distribuidor,Produto_27,8,11.262.196.453.661.800,8.704.055.757.028.320,25.581.406.966.334.800
2023-02-07 09:22:58.631452581,ES,Marketplace,Móveis,Varejo,Produto_65,1,4.469.549.200.928.770,26.515.554.958.054.600,1.817.993.705.123.310
2023-02-07 16:23:37.527010804,MG,Representante,Acessórios,Corporativo,Produto_62,9,1.023.392.168.410.120,7.635.208.304.817.390,2.598.713.379.283.880
2023-02-07 16:23:37.527010804,BA,Marketplace,Móveis,Distribuidor,Produto_21,7,13.427.477.171.726.400,780.304.035.346.913,5.624.436.818.257.310
2023-02-08 06:24:55.318127251,SP,Loja Física,Serviços,Corporativo,Produto_81,9,13.321.296.116.030.700,9.097.079.302.817.980,422.421.681.321.277
2023-02-08 20:26:13.109243697,RJ,Loja Física,Acessórios,Varejo,Produto_100,2,34.470.928.500.232.600,2.680.192.453.955.080,7.669.003.960.681.740
2023-02-09 03:26:52.004801920,SP,Marketplace,Eletrônicos,Varejo,Produto_68,3,5.489.565.844.694.360,36.505.914.259.729.300,18.389.744.187.214.200
2023-02-09 17:28:09.795918367,SC,Online,Móveis,Distribuidor,Produto_85,13,22.447.675.773.257.500,13.193.657.512.606.200,9.254.018.260.651.240
2023-02-09 17:28:09.795918367,ES,Loja Física,Acessórios,Corporativo,Produto_35,5,3.685.640.963.935.100,24.298.221.252.207.000,12.558.188.387.144.000
2023-02-09 17:28:09.795918367,RJ,Marketplace,Eletrônicos,Varejo,Produto_29,8,1.218.422.673.599.450,7.552.504.999.874.970,4.631.721.736.119.560
2023-02-09 17:28:09.795918367,RJ,Loja Física,Acessórios,Corporativo,Produto_104,4,22.922.744.603.277.500,15.149.780.242.969.500,7.772.964.360.308.030
2023-02-10 00:28:48.691476590,RJ,Representante,Eletrônicos,Distribuidor,Produto_52,13,23.333.306.544.864.500,16.825.640.999.584.500,650.766.554.528.003
2023-02-10 07:29:27.587034814,ES,Representante,Acessórios,Distribuidor,Produto_32,14,5.102.769.022.305.280,4.177.754.533.381.910,9.250.144.889.233.710
2023-02-10 07:29:27.587034814,RS,Online,Eletrônicos,Varejo,Produto_64,5,10.210.692.951.620.000,66.984.137.462.671,35.122.792.053.529.000
2023-02-10 14:30:06.482593037,SC,Online,Informática,Varejo,Produto_88,8,1.952.670.075.513.430,14.237.491.697.016.400,5.289.209.058.117.930
2023-02-10 21:30:45.378151260,RS,Loja Física,Eletrônicos,Corporativo,Produto_60,2,2.894.612.530.531.880,1.805.604.774.422.650,1.089.007.756.109.220
2023-02-10 21:30:45.378151260,RS,Online,Acessórios,Varejo,Produto_28,10,12.799.309.297.793.800,10.054.786.766.543.200,2.744.522.531.250.640
2023-02-10 21:30:45.378151260,BA,Loja Física,Acessórios,Distribuidor,Produto_82,9,2.066.160.951.761.440,1.754.484.577.179.520,31.167.637.458.191.800
2023-02-11 04:31:24.273709484,ES,Online,Móveis,Corporativo,Produto_51,5,1.216.293.588.788.290,8.100.893.209.397.820,4.062.042.678.485.120
2023-02-11 04:31:24.273709484,SP,Representante,Serviços,Distribuidor,Produto_110,4,7.782.326.731.911.820,6.117.316.141.020.730,16.650.105.908.910.900
2023-02-12 08:33:59.855942377,RJ,Online,Acessórios,Varejo,Produto_113,5,29.932.458.080.437.700,2.538.591.997.453.380,4.546.538.105.903.880
2023-02-12 15:34:38.751500600,ES,Online,Informática,Corporativo,Produto_1,4,11.692.635.760.631.000,8.979.565.845.656.780,27.130.699.149.742.200
2023-02-12 22:35:17.647058823,MG,Marketplace,Serviços,Corporativo,Produto_53,5,255.479.985.831.526,17.467.817.753.873.900,8.080.180.829.278.650
2023-02-13 05:35:56.542617047,PR,Marketplace,Serviços,Distribuidor,Produto_37,13,2.320.016.088.825.050,14.597.309.716.961.400,8.602.851.171.289.080
2023-02-13 05:35:56.542617047,RJ,Online,Informática,Corporativo,Produto_37,7,29.982.162.954.308.600,19.531.339.449.066.200,10.450.823.505.242.400
2023-02-13 19:37:14.333733493,RJ,Loja Física,Acessórios,Varejo,Produto_53,2,2.982.737.842.908.210,2.054.119.951.852.680,92.861.789.105.553
2023-02-14 09:38:32.124849940,ES,Online,Informática,Varejo,Produto_15,9,21.982.775.494.897.600,17.159.291.118.073.900,4.823.484.376.823.680
2023-02-14 16:39:11.020408163,MG,Loja Física,Serviços,Distribuidor,Produto_104,1,337.315.835.407.081,248.799.142.712.222,8.851.669.269.485.900
2023-02-14 16:39:11.020408163,BA,Marketplace,Móveis,Varejo,Produto_68,4,7.600.835.287.632.950,44.700.985.929.743,31.307.366.946.586.500
2023-02-14 16:39:11.020408163,SC,Representante,Acessórios,Corporativo,Produto_81,4,5.627.010.313.472.630,32.836.631.561.907.500,23.433.471.572.818.700
2023-02-15 06:40:28.811524610,RJ,Loja Física,Móveis,Distribuidor,Produto_54,2,15.331.227.627.954.300,11.136.855.637.245.100,4.194.371.990.709.160
2023-02-15 06:40:28.811524610,RS,Loja Física,Móveis,Corporativo,Produto_75,5,5.708.853.478.224.160,3.593.259.984.229.940,21.155.934.939.942.100
2023-02-16 03:42:25.498199279,RJ,Marketplace,Eletrônicos,Corporativo,Produto_66,11,921.680.372.083.812,7.703.615.263.871.180,15.131.884.569.669.300
2023-02-16 03:42:25.498199279,MG,Marketplace,Serviços,Distribuidor,Produto_52,8,22.316.966.883.100.000,12.673.624.176.229.600,9.643.342.706.870.390
2023-02-16 10:43:04.393757503,ES,Marketplace,Informática,Corporativo,Produto_41,9,9.660.332.995.763.250,7.139.809.258.704.630,2.520.523.737.058.620
2023-02-16 10:43:04.393757503,SC,Representante,Eletrônicos,Corporativo,Produto_36,11,2.525.977.663.949.690,14.105.829.827.135.900,11.153.946.812.360.900
2023-02-16 17:43:43.289315726,RJ,Marketplace,Informática,Varejo,Produto_14,3,15.619.911.481.157.500,11.473.047.325.645.900,4.146.864.155.511.640
2023-02-16 17:43:43.289315726,ES,Marketplace,Móveis,Varejo,Produto_62,14,22.632.265.158.056.300,17.328.264.361.896.300,53.040.007.961.600.000
2023-02-17 00:44:22.184873949,RS,Loja Física,Informática,Corporativo,Produto_89,7,8.868.015.241.858.020,6.408.900.593.907.960,2.459.114.647.950.060
2023-02-17 00:44:22.184873949,BA,Online,Serviços,Varejo,Produto_34,6,12.873.033.012.304.900,8.522.676.868.215.510,4.350.356.144.089.450
2023-02-17 00:44:22.184873949,MG,Marketplace,Móveis,Varejo,Produto_86,11,9.759.076.068.159.650,6.453.544.221.130.670,3.305.531.847.028.970
2023-02-17 07:45:01.080432173,SP,Representante,Acessórios,Varejo,Produto_46,7,3.582.570.056.447.650,28.745.045.219.201.100,7.080.655.345.275.340
2023-02-17 07:45:01.080432173,RS,Online,Acessórios,Distribuidor,Produto_15,1,18.382.932.923.058.100,1.458.626.180.012.110,37.966.711.229.370.100
2023-02-17 14:45:39.975990396,SC,Representante,Serviços,Distribuidor,Produto_42,6,12.059.877.586.566.300,10.078.092.201.254.900,19.817.853.853.114.200
2023-02-17 14:45:39.975990396,SC,Online,Eletrônicos,Varejo,Produto_76,13,14.950.005.803.933.200,833.031.615.725.654,6.619.689.646.676.750
2023-02-17 21:46:18.871548619,RJ,Loja Física,Eletrônicos,Varejo,Produto_91,13,13.623.511.136.645.800,8.553.047.454.939.950,5.070.463.681.705.860
2023-02-17 21:46:18.871548619,ES,Online,Acessórios,Corporativo,Produto_104,14,491.169.363.531.486,2.870.461.034.256.860,20.412.326.010.579.900
2023-02-18 04:46:57.767106842,RS,Representante,Acessórios,Varejo,Produto_54,12,17.502.692.616.997.600,13.931.707.607.837.700,35.709.850.091.599.100
2023-02-18 11:47:36.662665066,RJ,Representante,Serviços,Varejo,Produto_66,7,11.204.786.862.029.400,7.932.615.609.832.620,32.721.712.521.967.800
2023-02-19 15:50:12.244897959,RJ,Online,Móveis,Distribuidor,Produto_32,5,18.186.754.465.867.800,10.909.590.021.302.500,727.716.444.456.528
2023-02-20 05:51:30.036014405,RJ,Loja Física,Informática,Distribuidor,Produto_39,9,8.788.243.073.098.760,6.346.137.653.675.890,2.442.105.419.422.860
2023-02-20 12:52:08.931572629,BA,Marketplace,Móveis,Varejo,Produto_59,14,32.803.877.611.584.700,213.626.859.288.011,11.441.191.682.783.600
2023-02-20 19:52:47.827130852,PR,Marketplace,Móveis,Distribuidor,Produto_62,14,1.933.213.685.886.090,14.724.922.541.299.200,4.607.214.317.561.710
2023-02-21 02:53:26.722689075,RS,Representante,Móveis,Distribuidor,Produto_67,12,16.452.460.458.622.600,11.717.196.626.273.500,4.735.263.832.349.130
2023-02-21 09:54:05.618247299,SC,Loja Física,Informática,Varejo,Produto_38,1,12.046.957.843.034.400,7.372.760.864.321.270,467.419.697.871.318
2023-02-21 23:55:23.409363745,PR,Marketplace,Serviços,Corporativo,Produto_61,6,12.626.463.142.509.900,8.778.875.738.221.300,38.475.874.042.886.200
2023-02-22 13:56:41.200480192,SP,Loja Física,Serviços,Varejo,Produto_17,7,45.334.434.693.452.000,26.340.840.447.850.700,18.993.594.245.601.300
2023-02-23 03:57:58.991596639,MG,Marketplace,Informática,Varejo,Produto_7,11,7.353.324.378.603.720,4.406.085.433.832.930,2.947.238.944.770.790
2023-02-23 03:57:58.991596639,RJ,Online,Eletrônicos,Distribuidor,Produto_9,13,13.872.352.448.204.900,10.498.350.996.620.600,33.740.014.515.843.300
2023-02-23 03:57:58.991596639,BA,Loja Física,Informática,Corporativo,Produto_96,1,13.987.581.321.662.800,11.430.166.711.268.500,2.557.414.610.394.330
2023-02-23 03:57:58.991596639,SC,Representante,Eletrônicos,Varejo,Produto_18,10,4.639.817.675.928.310,39.193.399.021.236.100,720.477.773.804.701
